Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);sg1 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s CSRN;D50 (mm) ;FC %;N (mean);SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;V*s,40ft (fps)
No;B;32,8;23;27,9;8,5;1,6;9,8;0,4;3;3338,254593;214,2075545;2212,270341;121,2729498;0,952570994;0,88;0,02;0,41;0,06;6,93;0,05;0,13;20;18,3;1,1;20,1;3,5;*
No;B;24,6;7,9;16,2;5;2,8;7,5;0,3;3;1916,830709;350,3248254;1374,311024;178,5241942;0,991074224;0,992877629;0,07;0,25;0,08;7,7;0,08;0,2;19;34,8;0,74;25,8;5,2;800
No;B;45,9;24,6;35,3;10,8;3,6;5,2;0,3;3;4382,38189;453,5922838;2509,153543;241,1627369;0,979830738;0,877229337;0,13;0,4;0,06;7,6;0,11;0,34;0;26,7;1,12;29,8;3,5;715
No;B;29,5;22,6;26,1;8;1,1;11,5;0,3;3;3088,090551;154,0394087;2177,066929;92,05702196;0,942073167;0,860756304;0,1;0,4;0,08;6,9;0,07;0,19;2;25,5;1,2;30,6;7;630
No;B;22,6;11,5;17,1;5,2;1,9;11,5;0,3;3;1960,301837;235,5702994;1612,270341;123,3440105;0,979107129;0,938808139;0,07;0,4;0,08;6,9;0,06;0,13;18;16,6;1,29;21,5;6,8;630
No;B;23;16,4;19,7;6;1,1;7,7;0,3;3;2541,830709;153,7620942;1794,586614;91,27758719;0,960704653;0,991740171;0,08;0,4;0,08;6,9;0,07;0;3,5;42,35;1,26;53,2;3,2;850
No;B;29,5;19,7;24,6;7,5;1,6;14,6;0,3;3;3002,624672;211,8279006;2380,262467;116,8935763;0,963331249;0,924590827;0,1;0,6;0,12;6,9;0,09;0;8,75;23,1;1,13;26,2;4;700
No;B;20,7;14,1;17,4;5,3;1,1;10,5;0,3;3;1911,089239;141,9958311;1481,167979;78,94243436;0,953985188;0,944788766;0,07;0,5;0,1;6,9;0,08;0;14;19,6;1,34;26,2;1,7;650
No;B;17,4;14,1;15,7;4,8;0,5;10,2;0,3;3;1866,7979;76,75790539;1518,766404;51,28116428;0,890047385;0,900250662;0,07;0,5;0,1;6,9;0,07;0;18,5;16;1,31;21;2,3;560
No;B;16,4;13,1;14,8;4,5;0,5;8;0,3;3;1724,901575;75,37040182;1305,216535;48,60575316;0,891042628;0,948834855;0,06;0,6;0,12;6,9;0,1;0;5;17,55;1,4;24,6;1,7;630
No;B;39,4;29,5;34,4;10,5;1,6;25,1;0,3;3;4399,606299;235,6020249;3816,141732;144,5228799;0,962803856;0,940563754;0,13;0,7;0,14;6,9;0,11;0;0;40,5;0,91;36,7;3,8;825
No;B;26,2;23;24,6;7,5;0,5;20;0,3;3;2975,721785;92,02547179;2689,107612;72,54535979;0,914980181;0,952636153;0,1;0,6;0,12;6,9;0,08;0;10;19,5;1,07;20,8;1;750
No;B;39,4;16,4;27,9;8,5;3,8;9,5;0,3;3;3622,53937;520,4714016;2474,035433;285,0990136;0,993269978;0,980068235;0,11;0,4;0,08;6,9;0,08;0;14,83;35,2;1,13;39,6;9,1;850
No;B;26,2;13,1;19,7;6;2,2;6,6;0,3;3;2493,43832;298,6325974;1674,540682;165,1620364;0,98820382;0,994982309;0,08;0,55;0,11;6,9;0,11;0;0;50,35;1,3;65,5;4,5;900
No;B;13,1;9,8;11,5;3,5;0,5;5,4;0,3;3;1300,032808;72,96152537;921,2926509;43,5073092;0,898072025;0,990819928;0,05;0,6;0,12;6,9;0,11;0;0;23;1,6;36,8;2,8;760
No;B;26,2;13,1;19,7;6;2,2;7,9;0,3;3;2421,259843;276,7040504;1684,251969;144,4203027;0,981494256;0,961721608;0,08;0,6;0,12;6,9;0,11;0;6;30;1,3;38,9;11,7;720
No;B;19,7;13,1;16,4;5;1,1;9,8;0,3;3;2001,312336;141,2408298;1591,863517;79,01078327;0,949157535;0,973574221;0,07;0,6;0,12;6,9;0,09;0;10;18;1,29;23,3;1;720
No;B;13,1;9,8;11,5;3,5;0,5;7,1;0,3;3;1329,560367;72,91396809;1053,182415;44,70199674;0,88974234;0,989274162;0,05;0,7;0,14;6,9;0,11;0;2,5;26,05;1,5;39;1,4;750
No;B;13,1;9,8;11,5;3,5;0,5;3;0,3;3;1361,548556;73,90149752;829,2650919;45,06587517;0,897435365;0,990819928;0,05;0,6;0,12;6,9;0,12;0;0;24,45;1,69;41,2;6,1;760
No;B;9,8;6,6;8,2;2,5;0,5;3,4;0,3;3;939,1404199;70,98289311;642,2900262;40,10078409;0,901464207;0,998030147;0,04;0,6;0,12;6,9;0,11;0;10;27,7;1,82;50,4;7,5;850
No;B;24,6;11,5;18;5,5;2,2;8,2;0,3;3;2148,950131;297,9517932;1534,776903;163,5849048;0,990525619;0,993184895;0,08;0,4;0,08;6,9;0,07;0;3,25;39,45;1,34;52,8;7,4;850
